Plot	Species	Month	Parameter	Value																					
28	Litter_Trap	November	Total_Cu	0.01045203																					
29	Litter_Trap	November	Total_Cu	0.007550634																					
30	Litter_Trap	November	Total_Cu	0.008581046																					
31	Litter_Trap	November	Total_Cu	0.010333652																					
32	Litter_Trap	November	Total_Cu	0.016196038																					
33	Litter_Trap	November	Total_Cu	0.006355625																					
34	Litter_Trap	November	Total_Cu	0.008427141																					
35	Litter_Trap	November	Total_Cu	0.007073146																					
36	Litter_Trap	November	Total_Cu	0.007143195																					
1	Litter_Trap	November	Total_Fe	0.08328157																					
2	Litter_Trap	November	Total_Fe	0.102752508																					
3	Litter_Trap	November	Total_Fe	0.069764922																					
4	Litter_Trap	November	Total_Fe	0.080932104																					
5	Litter_Trap	November	Total_Fe	0.10249102																					
6	Litter_Trap	November	Total_Fe	0.081930175																					
7	Litter_Trap	November	Total_Fe	0.226146471																					
8	Litter_Trap	November	Total_Fe	0.070843988																					
9	Litter_Trap	November	Total_Fe	0.096716963																					
10	Litter_Trap	November	Total_Fe	0.066555585																					
11	Litter_Trap	November	Total_Fe	0.084264269																					
12	Litter_Trap	November	Total_Fe	0.084866349																					
13	Litter_Trap	November	Total_Fe	0.083890332																					
14	Litter_Trap	November	Total_Fe	0.081121821																					
15	Litter_Trap	November	Total_Fe	0.073567039																					
16	Litter_Trap	November	Total_Fe	0.076150573																					
17	Litter_Trap	November	Total_Fe	0.059748528																					
18	Litter_Trap	November	Total_Fe	0.071009297																					
19	Litter_Trap	November	Total_Fe	0.090405192																					
20	Litter_Trap	November	Total_Fe	0.071918306																					
21	Litter_Trap	November	Total_Fe	0.072564695																					
22	Litter_Trap	November	Total_Fe	0.066561742																					
23	Litter_Trap	November	Total_Fe	0.081113226																					
24	Litter_Trap	November	Total_Fe	0.083324333																					
25	Litter_Trap	November	Total_Fe	0.035951934																					
26	Litter_Trap	November	Total_Fe	0.094745901																					
27	Litter_Trap	November	Total_Fe	0.188212489																					
28	Litter_Trap	November	Total_Fe	0.077529423																					
29	Litter_Trap	November	Total_Fe	0.077424868																					
30	Litter_Trap	November	Total_Fe	0.096922084																					
31	Litter_Trap	November	Total_Fe	0.079402237																					
32	Litter_Trap	November	Total_Fe	0.079725155																					
33	Litter_Trap	November	Total_Fe	0.086814284																					
34	Litter_Trap	November	Total_Fe	0.086245641																					
35	Litter_Trap	November	Total_Fe	0.077133922																					
36	Litter_Trap	November	Total_Fe	0.083023321																					
1	Litter_Trap	November	Total_K	3.155478226																					
2	Litter_Trap	November	Total_K	6.202636624																					
3	Litter_Trap	November	Total_K	5.926662265																					
4	Litter_Trap	November	Total_K	4.255312641																					
5	Litter_Trap	November	Total_K	4.797642769																					
6	Litter_Trap	November	Total_K	5.557624826																					
7	Litter_Trap	November	Total_K	4.747111297																					
8	Litter_Trap	November	Total_K	4.513821135																					
9	Litter_Trap	November	Total_K	7.696770219																					
10	Litter_Trap	November	Total_K	9.51659733																					
11	Litter_Trap	November	Total_K	6.350157103																					
12	Litter_Trap	November	Total_K	3.761186507																					
13	Litter_Trap	November	Total_K	3.575413575																					
14	Litter_Trap	November	Total_K	7.679012024																					
15	Litter_Trap	November	Total_K	5.408244867																					
16	Litter_Trap	November	Total_K	5.500208939																					
17	Litter_Trap	November	Total_K	7.247712394																					
18	Litter_Trap	November	Total_K	7.275643116																					
19	Litter_Trap	November	Total_K	6.622972735																					
20	Litter_Trap	November	Total_K	7.607547334																					
21	Litter_Trap	November	Total_K	4.174544156																					
22	Litter_Trap	November	Total_K	4.278900264																					
23	Litter_Trap	November	Total_K	6.399105163																					
24	Litter_Trap	November	Total_K	5.210795687																					
25	Litter_Trap	November	Total_K	6.829105734																					
26	Litter_Trap	November	Total_K	4.880409915																					
27	Litter_Trap	November	Total_K	6.959697514																					
28	Litter_Trap	November	Total_K	4.675279084																					
29	Litter_Trap	November	Total_K	6.121753784																					
30	Litter_Trap	November	Total_K	4.240669814																					
31	Litter_Trap	November	Total_K	4.2452351																					
32	Litter_Trap	November	Total_K	9.314035053																					
33	Litter_Trap	November	Total_K	4.94557669																					
34	Litter_Trap	November	Total_K	6.88953917																					
35	Litter_Trap	November	Total_K	4.303676333																					
36	Litter_Trap	November	Total_K	3.978491461																					
1	Litter_Trap	November	Total_Mg	3.392485111																					
2	Litter_Trap	November	Total_Mg	2.230459344																					
3	Litter_Trap	November	Total_Mg	5.593563006																					
4	Litter_Trap	November	Total_Mg	3.388951716																					
5	Litter_Trap	November	Total_Mg	3.032302963																					
6	Litter_Trap	November	Total_Mg	2.921398897																					
7	Litter_Trap	November	Total_Mg	3.153092969																					
8	Litter_Trap	November	Total_Mg	3.809382047																					
9	Litter_Trap	November	Total_Mg	3.70765889																					
10	Litter_Trap	November	Total_Mg	3.261918677																					
11	Litter_Trap	November	Total_Mg	2.960782496																					
12	Litter_Trap	November	Total_Mg	3.018868413																					
13	Litter_Trap	November	Total_Mg	4.454641389																					
14	Litter_Trap	November	Total_Mg	4.405522935																					
15	Litter_Trap	November	Total_Mg	4.006180297																					
16	Litter_Trap	November	Total_Mg	4.427858625																					
17	Litter_Trap	November	Total_Mg	4.131422757																					
18	Litter_Trap	November	Total_Mg	3.565478711																					
19	Litter_Trap	November	Total_Mg	2.726891065																					
20	Litter_Trap	November	Total_Mg	3.354588547																					
21	Litter_Trap	November	Total_Mg	2.760170763																					
22	Litter_Trap	November	Total_Mg	4.058494598																					
23	Litter_Trap	November	Total_Mg	3.312971406																					
24	Litter_Trap	November	Total_Mg	3.11570108																					
25	Litter_Trap	November	Total_Mg	4.11227258																					
26	Litter_Trap	November	Total_Mg	2.016957336																					
27	Litter_Trap	November	Total_Mg	4.116807636																					
28	Litter_Trap	November	Total_Mg	3.073610334																					
29	Litter_Trap	November	Total_Mg	3.025258556																					
30	Litter_Trap	November	Total_Mg	2.591186265																					
31	Litter_Trap	November	Total_Mg	2.658205131																					
32	Litter_Trap	November	Total_Mg	3.620830761																					
33	Litter_Trap	November	Total_Mg	4.281233976																					
34	Litter_Trap	November	Total_Mg	2.359669848																					
35	Litter_Trap	November	Total_Mg	4.211250452																					
36	Litter_Trap	November	Total_Mg	2.737534149																					
1	Litter_Trap	November	Total_Mn	0.213639696																					
2	Litter_Trap	November	Total_Mn	0.483613258																					
3	Litter_Trap	November	Total_Mn	0.320989528																					
4	Litter_Trap	November	Total_Mn	0.334947352																					
5	Litter_Trap	November	Total_Mn	0.474061788																					
6	Litter_Trap	November	Total_Mn	0.142547617																					
7	Litter_Trap	November	Total_Mn	0.193880179																					
8	Litter_Trap	November	Total_Mn	0.255300703																					
9	Litter_Trap	November	Total_Mn	0.70586136																					
10	Litter_Trap	November	Total_Mn	0.240895923																					
11	Litter_Trap	November	Total_Mn	0.518250137																					
12	Litter_Trap	November	Total_Mn	0.225537889																					
13	Litter_Trap	November	Total_Mn	0.144680101																					
14	Litter_Trap	November	Total_Mn	0.272137637																					
15	Litter_Trap	November	Total_Mn	0.53672167																					
16	Litter_Trap	November	Total_Mn	0.196616266																					
17	Litter_Trap	November	Total_Mn	0.165006267																					
18	Litter_Trap	November	Total_Mn	0.535953376																					
19	Litter_Trap	November	Total_Mn	0.360937161																					
20	Litter_Trap	November	Total_Mn	0.254681834																					
21	Litter_Trap	November	Total_Mn	0.316284903																					
22	Litter_Trap	November	Total_Mn	0.128098859																					
23	Litter_Trap	November	Total_Mn	0.365065604																					
24	Litter_Trap	November	Total_Mn	0.369870552																					
25	Litter_Trap	November	Total_Mn	0.128552961																					
26	Litter_Trap	November	Total_Mn	0.17603387																					
27	Litter_Trap	November	Total_Mn	0.517492304																					
28	Litter_Trap	November	Total_Mn	0.435687981																					
29	Litter_Trap	November	Total_Mn	0.207190575																					
30	Litter_Trap	November	Total_Mn	0.110444814																					
31	Litter_Trap	November	Total_Mn	0.233255437																					
32	Litter_Trap	November	Total_Mn	0.275564792																					
33	Litter_Trap	November	Total_Mn	0.134780665																					
34	Litter_Trap	November	Total_Mn	0.555440292																					
35	Litter_Trap	November	Total_Mn	0.24858904																					
36	Litter_Trap	November	Total_Mn	0.324513769																					
1	Litter_Trap	November	Total_Na	0.545123551																					
2	Litter_Trap	November	Total_Na	1.064400818																					
3	Litter_Trap	November	Total_Na	0.496402981																					
4	Litter_Trap	November	Total_Na	1.061972274																					
5	Litter_Trap	November	Total_Na	0.378094929																					
6	Litter_Trap	November	Total_Na	0.568972708																					
7	Litter_Trap	November	Total_Na	0.355678733																					
8	Litter_Trap	November	Total_Na	0.611803582																					
9	Litter_Trap	November	Total_Na	0.497266395																					
10	Litter_Trap	November	Total_Na	0.426010624																					
11	Litter_Trap	November	Total_Na	0.503060171																					
12	Litter_Trap	November	Total_Na	0.390626176																					
13	Litter_Trap	November	Total_Na	0.262678135																					
14	Litter_Trap	November	Total_Na	0.599985242																					
15	Litter_Trap	November	Total_Na	0.684352071																					
16	Litter_Trap	November	Total_Na	0.215590096																					
17	Litter_Trap	November	Total_Na	0.291719262																					
18	Litter_Trap	November	Total_Na	0.80966104																					
19	Litter_Trap	November	Total_Na	0.449446729																					
20	Litter_Trap	November	Total_Na	0.409734292																					
21	Litter_Trap	November	Total_Na	0.889691189																					
22	Litter_Trap	November	Total_Na	0.550158727																					
23	Litter_Trap	November	Total_Na	0.728786745																					
24	Litter_Trap	November	Total_Na	1.009923796																					
25	Litter_Trap	November	Total_Na	1.003756499																					
26	Litter_Trap	November	Total_Na	0.588571669																					
27	Litter_Trap	November	Total_Na	0.236618451																					
28	Litter_Trap	November	Total_Na	0.396730057																					
29	Litter_Trap	November	Total_Na	0.7350953																					
30	Litter_Trap	November	Total_Na	0.717058778																					
31	Litter_Trap	November	Total_Na	0.352611716																					
32	Litter_Trap	November	Total_Na	0.293062192																					
33	Litter_Trap	November	Total_Na	0.73987314																					
34	Litter_Trap	November	Total_Na	0.581449041																					
35	Litter_Trap	November	Total_Na	0.371519263																					
36	Litter_Trap	November	Total_Na	0.568058164																					
1	Litter_Trap	November	Total_P	0.829523533																					
2	Litter_Trap	November	Total_P	0.48608223																					
3	Litter_Trap	November	Total_P	0.789649325																					
4	Litter_Trap	November	Total_P	0.426119331																					
5	Litter_Trap	November	Total_P	0.735766574																					
6	Litter_Trap	November	Total_P	0.460855167																					
7	Litter_Trap	November	Total_P	0.862247064																					
8	Litter_Trap	November	Total_P	0.385315016																					
9	Litter_Trap	November	Total_P	0.531722243																					
10	Litter_Trap	November	Total_P	0.54029001																					
11	Litter_Trap	November	Total_P	0.450505015																					
12	Litter_Trap	November	Total_P	0.356766729																					
13	Litter_Trap	November	Total_P	1.343975083																					
14	Litter_Trap	November	Total_P	1.474244708																					
15	Litter_Trap	November	Total_P	0.660225408																					
16	Litter_Trap	November	Total_P	0.502838466																					
17	Litter_Trap	November	Total_P	0.973555397																					
18	Litter_Trap	November	Total_P	0.597515017																					
19	Litter_Trap	November	Total_P	0.495915264																					
20	Litter_Trap	November	Total_P	0.726652429																					
21	Litter_Trap	November	Total_P	0.908653414																					
22	Litter_Trap	November	Total_P	0.850049409																					
23	Litter_Trap	November	Total_P	0.497351164																					
24	Litter_Trap	November	Total_P	0.743245767																					
25	Litter_Trap	November	Total_P	0.395321793																					
26	Litter_Trap	November	Total_P	0.574062733																					
27	Litter_Trap	November	Total_P	0.784200916																					
28	Litter_Trap	November	Total_P	0.512727615																					
29	Litter_Trap	November	Total_P	0.59722325																					
30	Litter_Trap	November	Total_P	0.846723061																					
31	Litter_Trap	November	Total_P	0.606766375																					
32	Litter_Trap	November	Total_P	0.770168927																					
33	Litter_Trap	November	Total_P	0.884282707																					
34	Litter_Trap	November	Total_P	0.422887365																					
35	Litter_Trap	November	Total_P	0.715079206																					
36	Litter_Trap	November	Total_P	0.364061623																					
1	Litter_Trap	November	Total_Zn	0.017662746																					
2	Litter_Trap	November	Total_Zn	0.030905646																					
3	Litter_Trap	November	Total_Zn	0.029311677																					
4	Litter_Trap	November	Total_Zn	0.016465379																					
5	Litter_Trap	November	Total_Zn	0.027408746																					
6	Litter_Trap	November	Total_Zn	0.02622299																					
7	Litter_Trap	November	Total_Zn	0.026423532																					
8	Litter_Trap	November	Total_Zn	0.022295776																					
9	Litter_Trap	November	Total_Zn	0.031362206																					
10	Litter_Trap	November	Total_Zn	0.025284053																					
11	Litter_Trap	November	Total_Zn	0.023631767																					
12	Litter_Trap	November	Total_Zn	0.014887496																					
13	Litter_Trap	November	Total_Zn	0.031877256																					
14	Litter_Trap	November	Total_Zn	0.024631801																					
15	Litter_Trap	November	Total_Zn	0.02383467																					
16	Litter_Trap	November	Total_Zn	0.038674658																					
17	Litter_Trap	November	Total_Zn	0.021659607																					
18	Litter_Trap	November	Total_Zn	0.022069612																					
19	Litter_Trap	November	Total_Zn	0.026098025																					
20	Litter_Trap	November	Total_Zn	0.016704144																					
21	Litter_Trap	November	Total_Zn	0.023422454																					
22	Litter_Trap	November	Total_Zn	0.01848159																					
23	Litter_Trap	November	Total_Zn	0.022573464																					
24	Litter_Trap	November	Total_Zn	0.026341356																					
25	Litter_Trap	November	Total_Zn	0.026930093																					
26	Litter_Trap	November	Total_Zn	0.028983844																					
27	Litter_Trap	November	Total_Zn	0.042278503																					
28	Litter_Trap	November	Total_Zn	0.028804294																					
29	Litter_Trap	November	Total_Zn	0.016410043																					
30	Litter_Trap	November	Total_Zn	0.021859074																					
31	Litter_Trap	November	Total_Zn	0.033092134																					
32	Litter_Trap	November	Total_Zn	0.049420503																					
33	Litter_Trap	November	Total_Zn	0.017035031																					
34	Litter_Trap	November	Total_Zn	0.020256556																					
35	Litter_Trap	November	Total_Zn	0.017864303																					
36	Litter_Trap	November	Total_Zn	0.022336341																					
1	Litter_Trap	April	Total_C	47.1515007																					
2	Litter_Trap	April	Total_C	47.43889618																					
3	Litter_Trap	April	Total_C	46.58842468																					
4	Litter_Trap	April	Total_C	47.2687912																					
5	Litter_Trap	April	Total_C	45.87812805																					
6	Litter_Trap	April	Total_C	46.98400879																					
7	Litter_Trap	April	Total_C	45.83590317																					
8	Litter_Trap	April	Total_C	46.40559387																					
9	Litter_Trap	April	Total_C	45.94245911																					
10	Litter_Trap	April	Total_C	45.03936005																					
11	Litter_Trap	April	Total_C	46.62392044																					
12	Litter_Trap	April	Total_C	44.55153656																					
13	Litter_Trap	April	Total_C	49.4740448																					
14	Litter_Trap	April	Total_C	44.42733383																					
15	Litter_Trap	April	Total_C	45.338974																					
16	Litter_Trap	April	Total_C	45.44359589																					
17	Litter_Trap	April	Total_C	44.53444672																					
18	Litter_Trap	April	Total_C	46.2469101																					
19	Litter_Trap	April	Total_C	43.83730698																					
20	Litter_Trap	April	Total_C	47.18305588																					
21	Litter_Trap	April	Total_C	45.93664169																					
22	Litter_Trap	April	Total_C	46.69908142																					
23	Litter_Trap	April	Total_C	45.13845444																					
24	Litter_Trap	April	Total_C	46.32943726																					
25	Litter_Trap	April	Total_C	44.65942001																					
26	Litter_Trap	April	Total_C	47.18605804																					
27	Litter_Trap	April	Total_C	45.57433319																					
28	Litter_Trap	April	Total_C	48.02579498																					
29	Litter_Trap	April	Total_C	46.70671082																					
30	Litter_Trap	April	Total_C	46.84418869																					
31	Litter_Trap	April	Total_C	46.65322113																					
32	Litter_Trap	April	Total_C	45.50108337																					
33	Litter_Trap	April	Total_C	45.26403046																					
34	Litter_Trap	April	Total_C	45.21525192																					
35	Litter_Trap	April	Total_C	46.0222168																					
36	Litter_Trap	April	Total_C	47.67068863																					
1	Litter_Trap	April	Total_N	1.520037174																					
2	Litter_Trap	April	Total_N	1.399655461																					
3	Litter_Trap	April	Total_N	1.398214817																					
4	Litter_Trap	April	Total_N	1.369771838																					
5	Litter_Trap	April	Total_N	1.530767918																					
6	Litter_Trap	April	Total_N	1.179590702																					
7	Litter_Trap	April	Total_N	1.274965763																					
8	Litter_Trap	April	Total_N	1.218133926																					
9	Litter_Trap	April	Total_N	1.795568824																					
10	Litter_Trap	April	Total_N	1.44874084																					
11	Litter_Trap	April	Total_N	1.380172253																					
12	Litter_Trap	April	Total_N	1.120737791																					
13	Litter_Trap	April	Total_N	1.687707305																					
14	Litter_Trap	April	Total_N	1.615927815																					
15	Litter_Trap	April	Total_N	1.559945703																					
16	Litter_Trap	April	Total_N	1.506956458																					
17	Litter_Trap	April	Total_N	1.617535233																					
18	Litter_Trap	April	Total_N	1.378942847																					
19	Litter_Trap	April	Total_N	1.523979425																					
20	Litter_Trap	April	Total_N	1.402617693																					
21	Litter_Trap	April	Total_N	1.24274385																					
22	Litter_Trap	April	Total_N	1.388568163																					
23	Litter_Trap	April	Total_N	1.534931898																					
24	Litter_Trap	April	Total_N	1.202042103																					
25	Litter_Trap	April	Total_N	1.399698019																					
26	Litter_Trap	April	Total_N	1.399030924																					
27	Litter_Trap	April	Total_N	1.965078831																					
28	Litter_Trap	April	Total_N	1.518515229																					
29	Litter_Trap	April	Total_N	1.410794973																					
30	Litter_Trap	April	Total_N	1.685490847																					
31	Litter_Trap	April	Total_N	1.317022562																					
32	Litter_Trap	April	Total_N	1.8710953																					
33	Litter_Trap	April	Total_N	1.568815112																					
34	Litter_Trap	April	Total_N	1.390560269																					
35	Litter_Trap	April	Total_N	1.510761857																					
36	Litter_Trap	April	Total_N	1.476928234																					
1	Litter_Trap	April	CN_Ratio	31.0199655																					
2	Litter_Trap	April	CN_Ratio	33.89326694																					
3	Litter_Trap	April	CN_Ratio	33.31993347																					
4	Litter_Trap	April	CN_Ratio	34.5085144																					
5	Litter_Trap	April	CN_Ratio	29.97066213																					
6	Litter_Trap	April	CN_Ratio	39.83077241																					
7	Litter_Trap	April	CN_Ratio	35.95069334																					
8	Litter_Trap	April	CN_Ratio	38.09564192																					
9	Litter_Trap	April	CN_Ratio	25.58657652																					
10	Litter_Trap	April	CN_Ratio	31.08862455																					
11	Litter_Trap	April	CN_Ratio	33.781233																					
12	Litter_Trap	April	CN_Ratio	39.75197135																					
13	Litter_Trap	April	CN_Ratio	29.31435128																					
14	Litter_Trap	April	CN_Ratio	27.49339012																					
15	Litter_Trap	April	CN_Ratio	29.06445649																					
16	Litter_Trap	April	CN_Ratio	30.15587852																					
17	Litter_Trap	April	CN_Ratio	27.53228851																					
18	Litter_Trap	April	CN_Ratio	33.53794553																					
19	Litter_Trap	April	CN_Ratio	28.76502546																					
20	Litter_Trap	April	CN_Ratio	33.63928469																					
21	Litter_Trap	April	CN_Ratio	36.96388576																					
22	Litter_Trap	April	CN_Ratio	33.63110481																					
23	Litter_Trap	April	CN_Ratio	29.40746394																					
24	Litter_Trap	April	CN_Ratio	38.54227497																					
25	Litter_Trap	April	CN_Ratio	31.90646797																					
26	Litter_Trap	April	CN_Ratio	33.72767338																					
27	Litter_Trap	April	CN_Ratio	23.19211447																					
28	Litter_Trap	April	CN_Ratio	31.62681154																					
29	Litter_Trap	April	CN_Ratio	33.10666092																					
30	Litter_Trap	April	CN_Ratio	27.79260937																					
31	Litter_Trap	April	CN_Ratio	35.42325126																					
32	Litter_Trap	April	CN_Ratio	24.31788663																					
33	Litter_Trap	April	CN_Ratio	28.85236769																					
34	Litter_Trap	April	CN_Ratio	32.51585201																					
35	Litter_Trap	April	CN_Ratio	30.46291948																					
36	Litter_Trap	April	CN_Ratio	32.27691605																					
1	Litter_Trap	April	CP_Ratio	568.4166734																					
2	Litter_Trap	April	CP_Ratio	975.9438483																					
3	Litter_Trap	April	CP_Ratio	589.9887859																					
4	Litter_Trap	April	CP_Ratio	1109.285305																					
5	Litter_Trap	April	CP_Ratio	623.5418904																					
6	Litter_Trap	April	CP_Ratio	1019.496193																					
7	Litter_Trap	April	CP_Ratio	531.5866537																					
8	Litter_Trap	April	CP_Ratio	1204.354668																					
9	Litter_Trap	April	CP_Ratio	864.0311692																					
10	Litter_Trap	April	CP_Ratio	833.6145257																					
11	Litter_Trap	April	CP_Ratio	1034.925669																					
12	Litter_Trap	April	CP_Ratio	1248.758164																					
13	Litter_Trap	April	CP_Ratio	368.117277																					
14	Litter_Trap	April	CP_Ratio	301.3565767																					
15	Litter_Trap	April	CP_Ratio	686.7196185																					
16	Litter_Trap	April	CP_Ratio	903.7414382																					
17	Litter_Trap	April	CP_Ratio	457.4413214																					
18	Litter_Trap	April	CP_Ratio	773.9874107																					
19	Litter_Trap	April	CP_Ratio	883.9676886																					
20	Litter_Trap	April	CP_Ratio	649.3208304																					
21	Litter_Trap	April	CP_Ratio	505.54635																					
22	Litter_Trap	April	CP_Ratio	549.3690243																					
23	Litter_Trap	April	CP_Ratio	907.5771355																					
24	Litter_Trap	April	CP_Ratio	623.3394026																					
25	Litter_Trap	April	CP_Ratio	1129.697903																					
26	Litter_Trap	April	CP_Ratio	821.9669268																					
27	Litter_Trap	April	CP_Ratio	581.1563368																					
28	Litter_Trap	April	CP_Ratio	936.6726804																					
29	Litter_Trap	April	CP_Ratio	782.0645102																					
30	Litter_Trap	April	CP_Ratio	553.2409692																					
31	Litter_Trap	April	CP_Ratio	768.88277																					
32	Litter_Trap	April	CP_Ratio	590.7935493																					
33	Litter_Trap	April	CP_Ratio	511.8728443																					
34	Litter_Trap	April	CP_Ratio	1069.203189																					
35	Litter_Trap	April	CP_Ratio	643.596072																					
36	Litter_Trap	April	CP_Ratio	1309.412628																					
1	Litter_Trap	April	NP_Ratio	18.32422004																					
2	Litter_Trap	April	NP_Ratio	28.79462313																					
3	Litter_Trap	April	NP_Ratio	17.70678163																					
4	Litter_Trap	April	NP_Ratio	32.145264																					
5	Litter_Trap	April	NP_Ratio	20.80507557																					
6	Litter_Trap	April	NP_Ratio	25.59569226																					
7	Litter_Trap	April	NP_Ratio	14.78654803																					
8	Litter_Trap	April	NP_Ratio	31.61397492																					
9	Litter_Trap	April	NP_Ratio	33.76892444																					
10	Litter_Trap	April	NP_Ratio	26.81413339																					
11	Litter_Trap	April	NP_Ratio	30.63611293																					
12	Litter_Trap	April	NP_Ratio	31.4137418																					
13	Litter_Trap	April	NP_Ratio	12.55757883																					
14	Litter_Trap	April	NP_Ratio	10.96105556																					
15	Litter_Trap	April	NP_Ratio	23.62747154																					
16	Litter_Trap	April	NP_Ratio	29.96899717																					
17	Litter_Trap	April	NP_Ratio	16.61472207																					
18	Litter_Trap	April	NP_Ratio	23.07796135																					
19	Litter_Trap	April	NP_Ratio	30.73064162																					
20	Litter_Trap	April	NP_Ratio	19.30245653																					
21	Litter_Trap	April	NP_Ratio	13.67676422																					
22	Litter_Trap	April	NP_Ratio	16.33514651																					
23	Litter_Trap	April	NP_Ratio	30.86213546																					
24	Litter_Trap	April	NP_Ratio	16.17287519																					
25	Litter_Trap	April	NP_Ratio	35.4065484																					
26	Litter_Trap	April	NP_Ratio	24.37069755																					
27	Litter_Trap	April	NP_Ratio	25.05835927																					
28	Litter_Trap	April	NP_Ratio	29.61641198																					
29	Litter_Trap	April	NP_Ratio	23.62257287																					
30	Litter_Trap	April	NP_Ratio	19.90604631																					
31	Litter_Trap	April	NP_Ratio	21.70559569																					
32	Litter_Trap	April	NP_Ratio	24.29460908																					
33	Litter_Trap	April	NP_Ratio	17.7411036																					
34	Litter_Trap	April	NP_Ratio	32.88252108																					
35	Litter_Trap	April	NP_Ratio	21.12719605																					
36	Litter_Trap	April	NP_Ratio	40.56808358																					
1	Litter_Trap	November	Total_C	45.32752228																					
2	Litter_Trap	November	Total_C	45.3596611																					
3	Litter_Trap	November	Total_C	45.94992447																					
4	Litter_Trap	November	Total_C	48.28977585																					
5	Litter_Trap	November	Total_C	45.3391571																					
6	Litter_Trap	November	Total_C	46.89877319																					
7	Litter_Trap	November	Total_C	45.97929001																					
8	Litter_Trap	November	Total_C	47.53518677																					
9	Litter_Trap	November	Total_C	48.83573532																					
10	Litter_Trap	November	Total_C	46.88183594																					
11	Litter_Trap	November	Total_C	46.84378433																					
12	Litter_Trap	November	Total_C	46.07225037																					
13	Litter_Trap	November	Total_C	44.73610687																					
14	Litter_Trap	November	Total_C	45.85467148																					
15	Litter_Trap	November	Total_C	45.88787842																					
16	Litter_Trap	November	Total_C	45.37683487																					
17	Litter_Trap	November	Total_C	47.13195801																					
18	Litter_Trap	November	Total_C	47.83173752																					
19	Litter_Trap	November	Total_C	44.24600983																					
20	Litter_Trap	November	Total_C	46.43546677																					
21	Litter_Trap	November	Total_C	47.01714325																					
22	Litter_Trap	November	Total_C	46.62007904																					
23	Litter_Trap	November	Total_C	46.70272827																					
24	Litter_Trap	November	Total_C	46.52915573																					
25	Litter_Trap	November	Total_C	43.79172516																					
26	Litter_Trap	November	Total_C	46.24375916																					
27	Litter_Trap	November	Total_C	46.51603317																					
28	Litter_Trap	November	Total_C	47.95147324																					
29	Litter_Trap	November	Total_C	45.27505493																					
30	Litter_Trap	November	Total_C	46.53922653																					
31	Litter_Trap	November	Total_C	45.77687454																					
32	Litter_Trap	November	Total_C	45.87031555																					
33	Litter_Trap	November	Total_C	44.86429596																					
34	Litter_Trap	November	Total_C	45.14186478																					
35	Litter_Trap	November	Total_C	45.10282898																					
36	Litter_Trap	November	Total_C	46.96656036																					
1	Litter_Trap	November	Total_N	1.308852434																					
2	Litter_Trap	November	Total_N	1.391771317																					
3	Litter_Trap	November	Total_N	1.38236022																					
4	Litter_Trap	November	Total_N	1.520745635																					
5	Litter_Trap	November	Total_N	1.470291734																					
6	Litter_Trap	November	Total_N	1.247720957																					
7	Litter_Trap	November	Total_N	1.353482008																					
8	Litter_Trap	November	Total_N	1.253491759																					
9	Litter_Trap	November	Total_N	1.484459877																					
10	Litter_Trap	November	Total_N	1.498838186																					
11	Litter_Trap	November	Total_N	1.406296849																					
12	Litter_Trap	November	Total_N	1.315864086																					
13	Litter_Trap	November	Total_N	1.332081556																					
14	Litter_Trap	November	Total_N	1.572227359																					
15	Litter_Trap	November	Total_N	1.614248872																					
16	Litter_Trap	November	Total_N	1.311878562																					
17	Litter_Trap	November	Total_N	1.434011698																					
18	Litter_Trap	November	Total_N	1.20865798																					
19	Litter_Trap	November	Total_N	1.457392335																					
20	Litter_Trap	November	Total_N	1.375339866																					
21	Litter_Trap	November	Total_N	1.170656681																					
22	Litter_Trap	November	Total_N	1.258034468																					
23	Litter_Trap	November	Total_N	1.441139936																					
24	Litter_Trap	November	Total_N	1.292156696																					
25	Litter_Trap	November	Total_N	1.393024921																					
26	Litter_Trap	November	Total_N	1.264438868																					
27	Litter_Trap	November	Total_N	1.561459303																					
28	Litter_Trap	November	Total_N	1.537475228																					
29	Litter_Trap	November	Total_N	1.581881642																					
30	Litter_Trap	November	Total_N	1.37191391																					
31	Litter_Trap	November	Total_N	1.168530941																					
32	Litter_Trap	November	Total_N	1.447959423																					
33	Litter_Trap	November	Total_N	1.484061241																					
34	Litter_Trap	November	Total_N	1.413504004																					
35	Litter_Trap	November	Total_N	1.527433991																					
36	Litter_Trap	November	Total_N	1.425790071																					
1	Litter_Trap	November	CN_Ratio	34.63149939																					
2	Litter_Trap	November	CN_Ratio	32.59131767																					
3	Litter_Trap	November	CN_Ratio	33.24019587																					
4	Litter_Trap	November	CN_Ratio	31.75401246																					
5	Litter_Trap	November	CN_Ratio	30.83684419																					
6	Litter_Trap	November	CN_Ratio	37.58754947																					
7	Litter_Trap	November	CN_Ratio	33.97111283																					
8	Litter_Trap	November	CN_Ratio	37.92221721																					
9	Litter_Trap	November	CN_Ratio	32.89798268																					
10	Litter_Trap	November	CN_Ratio	31.27878404																					
11	Litter_Trap	November	CN_Ratio	33.3100258																					
12	Litter_Trap	November	CN_Ratio	35.01292485																					
13	Litter_Trap	November	CN_Ratio	33.58360955																					
14	Litter_Trap	November	CN_Ratio	29.16542014																					
15	Litter_Trap	November	CN_Ratio	28.42676815																					
16	Litter_Trap	November	CN_Ratio	34.58920375																					
17	Litter_Trap	November	CN_Ratio	32.86720609																					
