"ID","PO4.conc","PO4.range","PO4.pct","NH4.conc","NH4.range","NH4.pct","NO3.conc","NO3.range","NO3.pct","Ca_ppm","P_ppm","Mg_ppm","K_ppm","Na_ppm","Fe_ppm","Zn_ppm","Cu_ppm","Mn_ppm","Mo_ppm","Collection","Bottle","Coord_x","Coord_y","Date_collected","Extra_volume","Volume_mL","Funnel_area","Water_cm","Collector","Photo_number","Notes","Notes.2","Notes.3","Plot","Treatment","Sample","X1.4m","Palm","Plants_above","Canopy","Date_placed","ID.full","Gap_Fraction.4.5","LAI.4.5","Gap_Fraction.2.25","LAI.2.25","Gap_Fraction.9","LAI.9","K_DL","P.dep","K.dep","Mg.dep","Ca.dep","Na.dep","P.fert","N.fert","K.fert","PO4.dep","NH4.dep","NO3.dep","N.conc","N.dep","DI.control","Treatment.DI","Type","Rain_cm","PO4.rain","NH4.rain","NO3.rain","PO4.dep.pct.of.rain","NH4.dep.pct.of.rain","NO3.dep.pct.of.rain","N.dep.pct.of.rain"
"1-7",1134.5546381,13.3321032000001,1.17509573821203,78.4839,2.6498,3.37623385178361,588.8362,15.0454,2.55510785512167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"7",105,90,"2018-06-25","110",160,81.15,1.97165742452249,"Omar",1585,"","Some water leaked through foil, shook out thoroughly but did not rinse with DI","","3","NP",7,"N","N","5+","Y","2018-06-20","3NP-1",0.010878,10.047,0.0072861,10.937,0.044789,6.9018,NA,NA,NA,NA,NA,NA,"TRUE","TRUE","FALSE",22.3695307573629,1.54743364140481,11.6098326555761,667.3201,13.1572662969809,FALSE,"NP","Tfall",5.21439979050264,0.701392541202715,0.81436459367628,3.47349215079723,3189.3026291675,190.017303480648,334.240935391532,306.849484044422
"1-8",108.45592511,0,0,42.31425,1.3249,3.13109649822459,4.615,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"8",120,80,"2018-06-25","250",300,81.15,3.69685767097967,"Omar",1583,"","Some water leaked through foil, shook out thoroughly but did not rinse with DI","","3","NP",8,"Y","Y","3","Y","2018-06-20","3NP-2",0.019279,8.775,0.024928,8.2039,0.01637,9.1384,NA,NA,NA,NA,NA,NA,"TRUE","TRUE","FALSE",4.009461187061,1.56429759704251,0.170609981515712,46.92925,1.73490757855823,FALSE,"NP","Tfall",5.21439979050264,0.701392541202715,0.81436459367628,3.47349215079723,571.642974729352,192.088114978184,4.91177103931424,40.4609501190612
"1-9",38.12869008,0,0,21.2484,10.0692,47.3880386287909,4.615,9.3063,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"9",125,85,"2018-06-25","310",360,81.15,4.4362292051756,"Omar",1581,"","Some water leaked through foil, shook out thoroughly but did not rinse with DI","About 50 degrees unlevel on 6/24","3","NP",9,"N","N","5+","Y","2018-06-20","3NP-3",0.012572,9.7251,0.010727,10.078,0.01298,9.654,NA,NA,NA,NA,NA,NA,"TRUE","TRUE","FALSE",1.69147608487985,0.942627726432532,0.204731977818854,25.8634,1.14735970425139,FALSE,"NP","Tfall",5.21439979050264,0.701392541202715,0.81436459367628,3.47349215079723,241.1596909741,115.750087092715,5.89412524717709,26.7583497450139
"1-103",51.94098026,1.66698168,3.20937662642411,11.5729,2.9598,25.575266355019,76.84975,2.8775,3.74431927234636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"103",450,715,"2018-06-25","260",310,81.15,3.82008626001232,"Palani",1509,"Also photo 1483; missing bottle number","","","35","NP",100,"N","N","1","N","2018-06-21","35NP-1",0.063772,6.1165,0.051531,6.5901,0.085648,5.4611,0.098139,NA,NA,NA,NA,NA,"TRUE","TRUE","FALSE",1.98419025022797,0.442094762784966,2.93572674060382,88.42265,3.37782150338879,FALSE,"NP","Tfall",5.21439979050264,0.701392541202715,0.81436459367628,3.47349215079723,282.892978420554,54.2870805309967,84.5180185574918,78.7764541747427
"1-105",159.96383078,1.00022025999998,0.625279011588312,20.7213,4.5742,22.0748698199437,21.69675,5.7551,26.5251708205146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"105",465,735,"2018-06-25","340",390,140.7,2.77185501066098,"Palani",1508,"Also photo 1487 (taken 10:46am on 6/22 when partly sunny)","","","35","NP",102,"Y","Y","2","N","2018-06-22","35NP-3",0.013363,9.5895,0.0081646,10.684,0.01517,9.3076,0.098139,NA,NA,NA,NA,NA,"TRUE","TRUE","FALSE",4.43396545872068,0.574364392324094,0.601402452025587,42.41805,1.17576684434968,FALSE,"NP","Tfall",5.21439979050264,0.701392541202715,0.81436459367628,3.47349215079723,632.166040875987,70.5291458867637,17.3140581845724,27.420851824518
"1-76",12.932741705,0.33338071,2.57780382230251,7.2677,2.9598,40.7254014337411,83.8837,3.517,4.19270966826689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"76",155,555,"2018-06-25","370",420,81.15,5.17560073937153,"Palani",1538,"","","","26","C",73,"N","N","2","Y","2018-06-20","26C-1",0.13758,4.4079,0.11261,4.8529,0.11565,4.7937,0.079498,NA,NA,NA,NA,NA,"FALSE","FALSE","FALSE",0.669347075304991,0.376147134935305,4.3414853974122,91.1514,4.7176325323475,FALSE,"C","Tfall",5.21439979050264,0.701392541202715,0.81436459367628,3.47349215079723,95.4311652868771,46.1890334938638,124.98906601576,110.023091103217
"1-77",38.93819501,1.00022026,2.56873812395034,109.38015,1.61449999999999,1.47604478509126,86.12185,9.27210000000001,10.7662573435197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"77",170,540,"2018-06-25","140",190,81.15,2.34134319162046,"Palani",1539,"","","","26","C",74,"Y","Y","5+","Y","2018-06-20","26C-2",0.027172,8.0123,0.013517,9.5639,0.033569,7.5425,0.079498,NA,NA,NA,NA,NA,"FALSE","FALSE","FALSE",0.911676777806531,2.56096469500924,2.01640807147258,195.502,4.57737276648182,FALSE,"C","Tfall",5.21439979050264,0.701392541202715,0.81436459367628,3.47349215079723,129.980962763481,314.4739733156,58.0513208014528,106.751998475263
"1-81",10.598920475,0.33338071,3.14542137368004,24.89185,5.9195,23.7808760698783,78.60825,3.1973,4.06738478467591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"81",60,570,"2018-06-25","160",210,81.15,2.58780036968577,"Palani",1545,"Also photo 1546 (overhead veg not moved)","Some water leaked through foil, returned on 6/22 to shake out thoroughly but did not rinse with DI","","27","NK",78,"Y","Y","4","Y","2018-06-20","27NK-3",0.019351,8.7667,0.0093194,10.39,0.028381,7.9156,0.079498,NA,NA,NA,NA,NA,"FALSE","TRUE","TRUE",0.27427890323475,0.644151386321627,2.03422458410351,103.5001,2.67837597042514,FALSE,"NK","Tfall",5.21439979050264,0.701392541202715,0.81436459367628,3.47349215079723,39.1049073268486,79.0986483601576,58.564248767242,62.4642130098497
"1-89",313.829732255,7.33492253000001,2.33722996138558,18.29965,0.269100000000002,1.47051992797677,4.615,0.9592,11.3809755460899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"89",200,635,"2018-06-25","510",560,81.15,6.90080098582871,"Palani",1535,"","","Water slightly into funnel and funnel tilted 5-10 degrees on 6/24","30","P",86,"Y","N","4","Y","2018-06-22","30P-2",0.007209,10.961,0.0053054,11.642,0.0065571,11.172,0.079498,NA,NA,NA,NA,NA,"TRUE","FALSE","FALSE",21.6567652572766,1.2628224276032,0.318471965495995,22.91465,1.5812943930992,FALSE,"P","Tfall",5.21439979050264,0.701392541202715,0.81436459367628,3.47349215079723,3087.68114644342,155.068434631036,9.16863927338659,36.8784333837011
"1-90",520.2067286,4.66764246,0.897266837082583,122.16105,6.72669999999999,5.50641959937312,86.60145,10.8707,12.5525611869085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"90",200,605,"2018-06-25","550",600,140.7,4.26439232409382,"Palani",1537,"","","Water slightly into funnel on 6/24","30","P",87,"N","N","2","Y","2018-06-22","30P-3",0.0328,7.5941,0.0086065,10.567,0.044035,6.9395,0.079498,NA,NA,NA,NA,NA,"TRUE","FALSE","FALSE",22.183655803838,5.20942643923241,3.69302558635394,208.7625,8.90245202558635,FALSE,"P","Tfall",5.21439979050264,0.701392541202715,0.81436459367628,3.47349215079723,3162.80178369141,639.6921575035,106.320251378899,207.62008985166
"1-94",14.599723385,0.33338071,2.28347278375508,91.2179,2.42160000000001,2.65474210653831,80.8463,8.95240000000001,11.0733577170508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"94",285,655,"2018-06-25","310",360,81.15,4.4362292051756,"Palani",1635,"Also photo 1532","","","32","K",91,"Y","Y","4","N","2018-06-22","32K-1",0.036459,7.359,0.042572,7.0146,0.060101,6.2483,0.098139,NA,NA,NA,NA,NA,"FALSE","FALSE","TRUE",0.647677192680222,4.04663512014787,3.58652717190388,172.0642,7.63316229205176,FALSE,"K","Tfall",5.21439979050264,0.701392541202715,0.81436459367628,3.47349215079723,92.3416139512426,496.907055091894,103.254218411886,178.018127631944
"1-96",21.93460685,1.00022026,4.56000997346347,39.2872,4.036,10.2730660367753,86.1218,1.59859999999999,1.85620830033742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"96",295,625,"2018-06-25","470",520,140.7,3.69580668088131,"Palani",1638,"Also photo 1533","","","32","K",93,"Y","Y","3","N","2018-06-22","32K-3",0.016345,9.1419,0.015143,9.3116,0.033771,7.5292,NA,NA,NA,NA,NA,NA,"FALSE","FALSE","TRUE",0.810660665387349,1.4519789623312,3.18289523809524,125.409,4.63487420042644,FALSE,"K","Tfall",5.21439979050264,0.701392541202715,0.81436459367628,3.47349215079723,115.578740543386,178.295934475312,91.6338687382584,108.093028210427
"1-97",222.310359765,0.333380710000031,0.149961841792907,14.8017,5.1124,34.5392758939852,74.7715,0.639399999999995,0.855138655771243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"97",460,640,"2018-06-24","530",570,81.15,7.02402957486137,"Palani",1489,"Possible that photo # for this location is 1488","","Water slightly into funnel and funnel tilted 25-30 degree on 6/24","33","PK",94,"N","N","4","Y","2018-06-21","33PK-1",0.019772,8.7188,0.0080726,10.71,0.022442,8.4374,0.098139,NA,NA,NA,NA,NA,"TRUE","FALSE","TRUE",15.6151454178743,1.03967578558226,5.25197227356747,89.5732,6.29164805914972,FALSE,"PK","Tfall",5.21439979050264,0.701392541202715,0.81436459367628,3.47349215079723,2226.30616959487,127.667115399609,151.201501127966,146.731769135218
"4-100",42.93907605,0.33345884,0.776585969413285,163.509575,21.07475,9.02521877314882,239.1113,1.91840000000002,0.802304198923271,NA,NA,NA,2.96,NA,NA,NA,NA,NA,NA,4,"100",360,660,"2018-07-13","",130,81.15,1.60197165742452,"Eva",1868,"","","","34","NK",412,"","","","","","34NK-1",0.018464,8.871,0.019067,8.7995,0.017333,9.0114,0.077179,NA,47.4183610597659,NA,NA,NA,"FALSE","TRUE","TRUE",0.687871828280961,2.61937704867529,3.83049525569932,402.620875,6.44987230437462,FALSE,"NK","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,175.200924361647,201.995851356983,120.50686178861,144.118304769914
"4-101",268.82017214,2.66720193999998,0.992188167564643,623.04875,16.6954999999999,2.40899359532788,290.74725,2.23810000000003,0.769775122550611,NA,NA,NA,1.62,NA,NA,NA,NA,NA,NA,4,"101",365,670,"2018-07-13","",75,81.15,0.924214417744917,"Eva",1867,"Poop in collector?","","","34","NK",413,"","","","","","34NK-2",0.0084799,10.6,0.012891,9.6693,0.014334,9.4336,0.077179,NA,14.9722735674677,NA,NA,NA,"FALSE","TRUE","TRUE",2.48447478872458,5.75830637707948,2.68712800369686,913.796,8.44543438077634,FALSE,"NK","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,632.795619244292,444.057490539883,84.5366829440653,188.707873360145
"4-102",163.46460169,6.66808297999999,4.07922137946757,646.313,30.928,4.31766560148985,203.78145,9.27209999999999,4.55002160402725,NA,NA,NA,4.28,NA,NA,NA,NA,NA,NA,4,"102",360,645,"2018-07-13","",155,140.7,1.10163468372424,"Eva",1869,"","","","34","NK",414,"","","","","","34NK-3",0.013847,9.5104,0.013015,9.6481,0.021071,8.5774,0.077179,NA,47.1499644633973,NA,NA,NA,"FALSE","TRUE","TRUE",1.80078274782871,7.12000817341862,2.24492713219616,850.09445,9.36493530561478,FALSE,"NK","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,458.659286545504,549.066471123631,70.6251034360499,209.253538183959
"4-103",34.437242905,1.33360097,3.87255441348464,34.0403,8.6102,25.2941366556699,155.98225,7.67349999999999,4.9194700037985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"103",450,720,"2018-07-13","",125,81.15,1.54035736290819,"Eva",1863,"","","","35","NP",415,"","","","","","35NP-1",0.22808,3.2845,0.22812,3.2842,0.24855,3.0936,NA,NA,NA,NA,NA,NA,"TRUE","TRUE","FALSE",0.530456606669747,0.524342267406038,2.40268407270487,190.02255,2.92702634011091,FALSE,"NP","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,135.107274351585,40.4351724623603,75.5881154115355,65.402546631436
"4-104",1059.5240552,30.0066078,2.83208367499837,749.634,11.495,1.40245524221787,177.7237,1.91839999999999,1.07942834861079,NA,NA,NA,7.08,NA,NA,NA,NA,NA,NA,4,"104",460,725,"2018-07-13","",150,81.15,1.84842883548983,"Eva",1861,"","","","35","NP",416,"","","","","","35NP-2",0.0027102,13.135,0.0023647,13.438,0.0087581,10.528,0.077179,NA,130.86876155268,NA,NA,NA,"TRUE","TRUE","FALSE",19.584548155268,13.8564510166359,3.28509611829945,927.3577,17.1415471349353,FALSE,"NP","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,4988.18355242578,1068.55392250887,103.348678816712,383.016995940353
"4-105",78.94669289,1.66698168,2.11152819576962,237.2712,5.47399999999999,1.7814881446748,208.73725,3.83669999999998,1.83805238403782,NA,NA,NA,0.59,NA,NA,NA,NA,NA,NA,4,"105",460,730,"2018-07-13","",180,140.7,1.27931769722815,"Eva",1862,"","","","35","NP",417,"","","","","","35NP-3",0.33805,2.4101,0.40195,2.0254,0.32461,2.5003,0.077179,NA,7.54797441364606,NA,NA,NA,"TRUE","TRUE","FALSE",1.00997901351812,3.03545245202559,2.67041257995736,446.00845,5.70586503198294,FALSE,"NP","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,257.241610252375,234.081917534797,84.0108179778271,127.493934274881
"4-106",223.310580025,1.66705980999998,0.746520746940584,1326.221,17.5169999999998,1.2546008117626,259.25415,5.75510000000003,2.21986803297075,NA,NA,NA,14.15,NA,NA,NA,NA,NA,NA,4,"106",345,755,"2018-07-13","",75,81.15,0.924214417744917,"Palani",1866,"","","","36","C",418,"","","","","","36C-1",0.065296,6.0641,0.054843,6.4517,0.065921,6.0429,0.077179,NA,130.776340110906,NA,NA,NA,"FALSE","FALSE","FALSE",2.06386857694085,12.2571256931608,2.39606423290203,1585.47515,14.6531899260628,FALSE,"C","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,525.667235631144,945.220368648994,75.3798561481945,327.416232749823
"4-107",98.284141345,2.33382123,2.37456541621272,192.247875,1.36845,0.521815477055818,184.2781,0.95920000000001,0.520517630689707,NA,NA,NA,3.74,NA,NA,NA,NA,NA,NA,4,"107",350,750,"2018-07-13","",90,81.15,1.1090573012939,"Palani",1865,"","","","36","C",419,"","","","","","36C-2",0.013663,9.5401,0.0091458,10.432,0.077518,5.6828,0.077179,NA,41.4787430683919,NA,NA,NA,"FALSE","FALSE","FALSE",1.09002744560074,2.13213909426987,2.04374972273567,376.525975,4.17588881700554,FALSE,"C","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,277.629942377595,164.422014683362,64.2960893899485,93.3075863852831
"4-71",375.3427704,1.00022025999998,0.266481823783113,398.21145,0.266399999999976,0.0668991311023267,197.4335,6.24179999999998,3.16146955810437,NA,NA,NA,5.51,NA,NA,NA,NA,NA,NA,4,"71",350,505,"2018-07-13","",65,81.15,0.800985828712261,"Palani",1843,"","","","24","P",383,"","","","","","24P-2",0.00052047,16.802,0.00070231,16.136,0.012001,9.8284,0.076776,NA,44.1343191620456,NA,NA,NA,"TRUE","FALSE","FALSE",3.0064424,3.18961728280961,1.58141435613062,595.64495,4.77103163894023,FALSE,"P","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,765.740746842891,245.970490911156,49.7510813937725,106.605675176132
"4-72",431.854707245,8.00168395000007,1.85286482137627,213.48305,1.06550000000001,0.499102856175239,110.0481,4.99339999999999,4.53747043338322,NA,NA,NA,8.75,NA,NA,NA,NA,NA,NA,4,"72",340,495,"2018-07-13","",85,81.15,1.04744300677757,"Eva",1845,"","","","24","P",384,"","","","","","24P-3",0.027957,7.9491,0.021369,8.5462,0.029747,7.8112,0.076776,NA,91.6512630930376,NA,NA,NA,"TRUE","FALSE","FALSE",4.52343193047751,2.23611327788047,1.15269112754159,323.53115,3.38880440542206,FALSE,"P","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,1152.11791343045,172.440086670437,36.2635067058062,75.7206845436294
"4-73",7.931640405,0.33338071,4.20317479080168,64.71475,0.266400000000004,0.41165267578103,252.04935,3.74510000000001,1.4858598127708,NA,NA,NA,1.97,NA,NA,NA,NA,NA,NA,4,"73",60,585,"2018-07-12","",115,81.15,1.41712877387554,"Palani",2098,"","","","Rain 1","Rain",385,"","","","","","R1",1,0,1,0,1,0,0.076776,NA,27.9174368453481,NA,NA,NA,"Rain","Rain","Rain",0.112401558419593,0.91709134319162,3.57186386321627,316.7641,4.48895520640789,FALSE,"Rain","Rain",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,28.6286719780576,70.7224058230934,112.370353220487,100.302856243649
"4-74",12.59932193,0.333458840000001,2.64664115936278,85.225325,1.33185,1.5627397138116,256.4186,0.62420000000003,0.243430078785248,NA,NA,NA,1.67,NA,NA,NA,NA,NA,NA,4,"74",60,590,"2018-07-12","",115,81.15,1.41712877387554,"Palani",2100,"","","","Rain 1","Rain",386,"","","","","","R2",1,0,1,0,1,0,0.076776,NA,23.6660505237215,NA,NA,NA,"Rain","Rain","Rain",0.178548616383241,1.20775260320394,3.63378176216882,341.643925,4.84153436537277,FALSE,"Rain","Rain",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,45.4763247275477,93.1370363179187,114.318281932894,108.181013870546
"4-75",43.772605955,0.666839550000003,1.52341752438852,63.11655,10.9212,17.3032271250567,226.1458,3.745,1.6560112989054,NA,NA,NA,0.038388,NA,NA,NA,NA,NA,NA,4,"75",65,590,"2018-07-12","",115,81.15,1.41712877387554,"Palani",2099,"","","","Rain 1","Rain",387,"","","","","","R3",1,0,1,0,1,0,0.076776,NA,0.544007393715342,NA,NA,NA,"Rain","Rain","Rain",0.620314194063463,0.894442791127541,3.20477720271103,289.26235,4.09921999383857,FALSE,"Rain","Rain",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,157.993997902438,68.9758403339821,100.821856613912,91.5944701711784
"4-76",232.145754815,1.33360097000001,0.574467093340897,377.700875,6.65925000000004,1.7631015549011,121.9075,4.99340000000001,4.0960564362324,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,4,"76",155,545,"2018-07-12","",60,81.15,0.739371534195933,"Palani",1936,"Also 1882 (sunny and in the afternoon when this photo was taken)","","","26","C",388,"","","","","","26C-1",0.004631,11.944,0.0076359,10.833,0.0037249,12.428,0.076776,NA,17.7449168207024,NA,NA,NA,"FALSE","FALSE","FALSE",1.7164196289464,2.79261275415896,0.901349353049907,499.608375,3.69396210720887,FALSE,"C","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,437.172003882466,215.355094094603,28.3563285320942,82.5392397945868
"4-77",140.9598021,5.66786271999998,4.02090712072586,188.1778,0,0,220.21605,18.7255,8.50324034056555,NA,NA,NA,1.22,NA,NA,NA,NA,NA,NA,4,"77",175,545,"2018-07-12","",40,81.15,0.492914356130622,"Palani",1934,"Also 1880 (sunny and in the afternoon when this photo was taken)","","","26","C",389,"","","","","","26C-2",0.021418,8.5411,0.012244,9.7838,0.017603,8.9771,0.076776,NA,6.01355514479359,NA,NA,NA,"FALSE","FALSE","FALSE",0.694811100924214,0.92755539125077,1.08547652495379,408.39385,2.01303191620456,FALSE,"C","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,176.968356798201,71.5293512368578,34.1489444146317,44.9799210775634
"4-78",110.7867774,0.666761420000017,0.601842057010693,221.607375,7.19204999999999,3.24540191859589,152.8045,10.611,6.94416722020622,NA,NA,NA,5.02,NA,NA,NA,NA,NA,NA,4,"78",170,550,"2018-07-12","",75,81.15,0.924214417744917,"Palani",1935,"Also 1881 (sunny and in the afternoon when this photo was taken)","","","26","C",390,"","","","","","26C-3",0.0054707,11.574,0.0053081,11.641,0.0034018,12.63,0.076776,NA,46.3955637707948,NA,NA,NA,"FALSE","FALSE","FALSE",1.02390736968577,2.04812731053604,1.41224121996303,374.411875,3.46036853049908,FALSE,"C","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,260.789161954714,157.943362903193,44.4289174495251,77.3197395173917
"4-79",31.60335061,0.33345884,1.05513761535932,33.9489,1.5982,4.70766357672855,291.06065,13.1079,4.50349437479782,NA,NA,NA,1.06,NA,NA,NA,NA,NA,NA,4,"79",55,575,"2018-07-12","",180,81.15,2.2181146025878,"Palani",1948,"","","","27","NK",391,"","","","","","27NK-1",0.54037,1.3678,0.59374,1.1585,0.4026,2.0218,0.076776,NA,23.5120147874307,NA,NA,NA,"FALSE","TRUE","TRUE",0.700998534787431,0.75302550831793,6.45605878003697,325.00955,7.2090842883549,FALSE,"NK","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,178.544295930599,58.0703067254604,203.106734552793,161.082414899354
"4-80",94.11656995,0,0,269.554175,5.06105000000002,1.87756320227651,149.6836,5.61760000000001,3.75298295872094,NA,NA,NA,7.98,NA,NA,NA,NA,NA,NA,4,"80",50,545,"2018-07-12","",80,81.15,0.985828712261245,"Palani",1943,"","","","27","NK",392,"","","","","","27NK-2",0.0059365,11.393,8.42e-05,20.85,0.0050587,11.748,0.076776,NA,78.6691312384473,NA,NA,NA,"FALSE","TRUE","TRUE",0.927828169562538,2.65734245224892,1.47562390634627,419.237775,4.13296635859519,FALSE,"NK","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,236.317793915723,204.923590996775,46.4229281760523,92.3485112825929
"4-81",280.155936645,4.66772059000002,1.66611518067337,391.77375,22.717,4.91950874210584,186.67605,7.67349999999999,4.11059694052879,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,4,"81",45,560,"2018-07-12","",60,81.15,0.739371534195933,"Palani",1946,"","","","27","NK",393,"","","","","","27NK-3",0.024396,8.2519,0.029173,7.8544,0.013361,9.5897,0.076776,NA,19.2236598890943,NA,NA,NA,"FALSE","TRUE","TRUE",2.07139324691312,2.89666358595194,1.38022957486137,578.4498,4.27689316081331,FALSE,"NK","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,527.583768741612,223.379076882057,43.4218354315661,95.5644643693789
"4-82",135.625359155,4.33426175000001,3.19576056941282,204.2906,5.20030000000003,1.89590893745539,30.16955,0.319700000000001,1.05967772141116,NA,NA,NA,3.26,NA,NA,NA,NA,NA,NA,4,"82",295,555,"2018-07-13","",130,81.15,1.60197165742452,"Eva",1875,"","","","28","N",394,"","","","","","28N-1",0.0040329,12.252,0.0039587,12.293,0.002706,13.138,0.076776,NA,52.2242760320394,NA,NA,NA,"FALSE","TRUE","FALSE",2.17267981394331,3.2726775107825,0.48330764017252,234.46015,3.75598515095502,FALSE,"N","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,553.381452902416,252.375762527846,15.204792881284,83.9251053589799
"4-83",133.95833841,5.00110130000001,3.73332586784809,217.017525,15.87445,5.53082951990474,22.17635,0.319700000000001,1.44162587621498,NA,NA,NA,3.16,NA,NA,NA,NA,NA,NA,4,"83",305,580,"2018-07-13","",155,81.15,1.91004313000616,"Palani",1871,"","","","28","N",395,"","","","","","28N-2",0.0091399,10.434,0.011016,10.019,0.02618,8.0951,0.076776,NA,60.3573629081947,NA,NA,NA,"FALSE","TRUE","FALSE",2.55866203987061,4.1451283271719,0.423577849661121,239.193875,4.56870617683303,FALSE,"N","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,651.691108843155,319.655669982482,13.3257017639904,102.084841082889
"4-85",147.12777495,4.66764246,3.17250937940593,201.96415,2.73700000000002,1.00638264271229,268.2065,0.639400000000023,0.238398398249119,NA,NA,NA,2.97,NA,NA,NA,NA,NA,NA,4,"85",400,565,"2018-07-13","",135,81.15,1.66358595194085,"Eva",1853,"","","","29","NPK",397,"","","","","","29NPK-1",0.026839,8.0398,0.02967,7.8169,0.036147,7.3781,0.076776,NA,49.4085027726433,NA,NA,NA,"TRUE","TRUE","TRUE",2.44759699547135,3.35984722735675,4.46184565619224,470.17065,7.82169288354898,FALSE,"NPK","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,623.402846927201,259.097941421818,140.369059852733,174.770765313202
"4-86",66.110676125,1.33360097,2.01722482383703,251.3151,0.269000000000005,0.107036942865751,299.3799,0.95920000000001,0.320395591019975,NA,NA,NA,0.72,NA,NA,NA,NA,NA,NA,4,"86",400,555,"2018-07-13","",125,81.15,1.54035736290819,"Palani",1852,"","","","29","NPK",398,"","","","","","29NPK-2",0.09178,5.3075,0.098315,5.1546,0.07763,5.6795,0.077179,NA,11.090573012939,NA,NA,NA,"TRUE","TRUE","TRUE",1.01834066735983,3.87115064695009,4.61152033271719,550.695,8.48267097966728,FALSE,"NPK","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,259.371323117517,298.527610241253,145.077804898275,189.539901539047
"4-87",862.81576355,3.33380710000004,0.386386902145054,691.7843,12.1082,1.75028545747569,770.0184,15.6666,2.03457475821357,NA,NA,NA,2.22,NA,NA,NA,NA,NA,NA,4,"87",375,575,"2018-07-13","",230,140.7,1.63468372423596,"Eva",1851,"","","","29","NPK",399,"","","","","","29NPK-3",0.022751,8.407,0.00052607,16.778,0.066982,6.0074,0.077179,NA,36.2899786780384,NA,NA,NA,"TRUE","TRUE","TRUE",14.1043088568941,11.3084853589197,12.5873654584222,1461.8027,23.8958508173419,FALSE,"NPK","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,3592.36684454054,872.065031182966,395.996811985053,533.937626717709
"4-88",349.003858255,2.33382123,0.668709292117564,299.948075,4.37914999999998,1.18372017478398,211.77465,5.43530000000001,2.56654892358458,NA,NA,NA,1.28,NA,NA,NA,NA,NA,NA,4,"88",210,620,"2018-07-13","",100,81.15,1.23228589032656,"Palani",1898,"","","","30","P",400,"","","","","","30P-1",0.029056,7.8634,0.039768,7.166,0.025303,8.1708,0.077179,NA,15.7732593961799,NA,NA,NA,"TRUE","FALSE","FALSE",4.30072530197166,3.69621780653112,2.60966913123845,511.722725,6.30588693776956,FALSE,"P","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,1095.39454496048,285.037491264835,82.0998373106557,140.901043099055
